submission_id,question,response1,startDate,context_picture,sentence_order,domain,experiment_id,problems,enjoyment,item,botresponse,option2,option1,understand,text,target,age,comments,education,target_size,sentences,languages,sex,np,RT,context,sentence2,trial_number,startTime,fairprice,congruence,response2,sentence1,trial_name
1054,How well does each of the sentences describe it? (Click on the slider to provide a rating),0,Mon Dec 02 2019 10:59:59 GMT-0600 (Central Standard Time),NA,NA,NA,27,no,2,NA,patricia,very well,very bad,NA,Imagine you see this chair.,warmup/purple-chair.png,NA,NA,graduated_high_school,NA,NA,English,male,NA,7321,NA,The chair is blue.,1,1575305999782,0.5,NA,0,The chair is yellow.,custom_warmup
1054,How well does each of the sentences describe it? (Click on the slider to provide a rating),100,Mon Dec 02 2019 10:59:59 GMT-0600 (Central Standard Time),NA,NA,NA,27,no,2,NA,patricia,very well,very bad,NA,Imagine you see this basketball.,warmup/basketball.png,NA,NA,graduated_high_school,NA,NA,English,male,NA,5492,NA,The basketball is green.,2,1575305999782,0.5,NA,0,The basketball is orange.,custom_warmup
1054,How well does each of these sentences describe it? (Click on the slider to provide a rating),20,Mon Dec 02 2019 10:59:59 GMT-0600 (Central Standard Time),images/flower-parade-basic.png,0|1,flowers,27,no,2,sunflower,patricia,very well,very bad,NA,You also see this sunflower.,warmup/sunflower.png,NA,NA,graduated_high_school,0,<b>That's a big flower.</b>|<b>That flower is big.</b>,English,male,1,10110,You and your friend see the following:,1,1,1575305999782,0.5,0,19,0,custom_slider1
1054,How well does each of these sentences describe it? (Click on the slider to provide a rating),45,Mon Dec 02 2019 10:59:59 GMT-0600 (Central Standard Time),images/dog-parade-basic2.png,0|1,dogs2,27,no,2,great dane,patricia,very well,very bad,NA,You also see this great dane.,warmup/great-dane.jpg,NA,NA,graduated_high_school,0,<b>That's a big dog.</b>|<b>That dog is big.</b>,English,male,1,8800,You and your friend see the following:,1,2,1575305999782,0.5,0,48,0,custom_slider1
1054,How well does each of these sentences describe it? (Click on the slider to provide a rating),100,Mon Dec 02 2019 10:59:59 GMT-0600 (Central Standard Time),images/bird-parade-basic.png,0|1,birds,27,no,2,hummingbird,patricia,very well,very bad,NA,You also see this hummingbird.,warmup/colibri.jpg,NA,NA,graduated_high_school,1,<b>That's a small hummingbird.</b>|<b>That hummingbird is small.</b>,English,male,0,5899,You and your friend see the following:,1,3,1575305999782,0.5,0,100,0,custom_slider1
1054,How well does each of these sentences describe it? (Click on the slider to provide a rating),33,Mon Dec 02 2019 10:59:59 GMT-0600 (Central Standard Time),images/fish-parade-basic.png,0|1,fish,27,no,2,swordfish,patricia,very well,very bad,NA,You also see this swordfish.,warmup/swordfish.jpg,NA,NA,graduated_high_school,0,<b>That's a big swordfish.</b>|<b>That swordfish is big.</b>,English,male,0,7935,You and your friend see the following:,1,1,1575305999782,0.5,0,29,0,custom_slider2
1054,How well does each of these sentences describe it? (Click on the slider to provide a rating),100,Mon Dec 02 2019 10:59:59 GMT-0600 (Central Standard Time),images/dog-parade-basic.png,0|1,dogs1,27,no,2,chihuahua,patricia,very well,very bad,NA,You also see this chihuahua.,warmup/chihuahua.jpg,NA,NA,graduated_high_school,1,<b>That's a small dog.</b>|<b>That dog is small.</b>,English,male,1,6915,You and your friend see the following:,1,2,1575305999782,0.5,0,100,0,custom_slider2
1054,How well does each of these sentences describe it? (Click on the slider to provide a rating),100,Mon Dec 02 2019 10:59:59 GMT-0600 (Central Standard Time),images/tree-parade-basic.png,0|1,trees,27,no,2,bonsai,patricia,very well,very bad,NA,You also see this bonsai.,warmup/bonsai.jpg,NA,NA,graduated_high_school,1,<b>That's a small bonsai.</b>|<b>That bonsai is small.</b>,English,male,0,5326,You and your friend see the following:,1,3,1575305999782,0.5,0,100,0,custom_slider2
1053,How well does each of the sentences describe it? (Click on the slider to provide a rating),0,Mon Dec 02 2019 09:56:19 GMT-0700 (Mountain Standard Time),NA,NA,NA,27,No,1,NA,jennifer,very well,very bad,yes,Imagine you see this chair.,warmup/purple-chair.png,24,NA,graduated_college,NA,NA,English,female,NA,8652,NA,The chair is blue.,1,1575305779287,1,NA,0,The chair is yellow.,custom_warmup
1053,How well does each of the sentences describe it? (Click on the slider to provide a rating),89,Mon Dec 02 2019 09:56:19 GMT-0700 (Mountain Standard Time),NA,NA,NA,27,No,1,NA,jennifer,very well,very bad,yes,Imagine you see this basketball.,warmup/basketball.png,24,NA,graduated_college,NA,NA,English,female,NA,6796,NA,The basketball is green.,2,1575305779287,1,NA,0,The basketball is orange.,custom_warmup
