submission_id,question,response1,context_picture,sentence_order,domain,experiment_id,problems,enjoyment,item,botresponse,option2,option1,understand,text,target,age,comments,education,target_size,sentences,languages,sex,np,context,sentence2,trial_number,startTime,fairprice,congruence,response2,sentence1,trial_name
523,How well does each of the sentences describe it? (Click on the slider to provide a rating),0,NA,NA,NA,14,N/A,1,NA,Susan,very well,very bad,NA,Imagine you see this chair.,warmup/purple-chair.png,NA,N/A,some_college,NA,NA,English,female,NA,NA,The chair is blue.,1,1568233131819,0.5,NA,0,The chair is yellow.,custom_warmup
523,How well does each of the sentences describe it? (Click on the slider to provide a rating),100,NA,NA,NA,14,N/A,1,NA,Susan,very well,very bad,NA,Imagine you see this basketball.,warmup/basketball.png,NA,N/A,some_college,NA,NA,English,female,NA,NA,The basketball is green.,2,1568233131819,0.5,NA,0,The basketball is orange.,custom_warmup
523,How well does each of these sentences describe it? (Click on the slider to provide a rating),0,images/flower-parade-basic.png,1|0,flowers,14,N/A,1,dandelion,Susan,very well,very bad,NA,You also see this dandelion.,warmup/dandelion.jpg,NA,N/A,some_college,1,<b>That's a big flower.</b>|<b>That flower is big.</b>,English,female,1,You and your friend see the following:,NA,1,1568233131819,0.5,1,0,NA,custom_slider1
523,How well does each of these sentences describe it? (Click on the slider to provide a rating),0,images/dog-parade-basic2.png,NA,dogs2,14,N/A,1,great dane,Susan,very well,very bad,NA,You also see this great dane.,warmup/great-dane.jpg,NA,N/A,some_college,0,<b>That's a small great dane.</b>|<b>That great dane is small.</b>,English,female,0,You and your friend see the following:,NA,2,1568233131819,0.5,1,0,NA,custom_slider1
523,How well does each of these sentences describe it? (Click on the slider to provide a rating),100,images/dog-parade-basic.png,1|0,dogs1,14,N/A,1,chihuahua,Susan,very well,very bad,NA,You also see this chihuahua.,warmup/chihuahua.jpg,NA,N/A,some_college,1,<b>That's a small dog.</b>|<b>That dog is small.</b>,English,female,1,You and your friend see the following:,NA,3,1568233131819,0.5,0,100,NA,custom_slider1
523,How well does each of these sentences describe it? (Click on the slider to provide a rating),100,images/tree-parade-basic.png,1|0,trees,14,N/A,1,sequoia,Susan,very well,very bad,NA,You also see this sequoia.,warmup/sequoia.png,NA,N/A,some_college,0,<b>That's a big sequoia.</b>|<b>That sequoia is big.</b>,English,female,0,You and your friend see the following:,NA,1,1568233131819,0.5,0,100,NA,custom_slider2
523,How well does each of these sentences describe it? (Click on the slider to provide a rating),0,images/bird-parade-basic.png,1|0,birds,14,N/A,1,eagle,Susan,very well,very bad,NA,You also see this eagle.,warmup/eagle.jpg,NA,N/A,some_college,0,<b>That's a small eagle.</b>|<b>That eagle is small.</b>,English,female,0,You and your friend see the following:,NA,2,1568233131819,0.5,1,0,NA,custom_slider2
523,How well does each of these sentences describe it? (Click on the slider to provide a rating),100,images/fish-parade-basic.png,1|0,fish,14,N/A,1,goldfish,Susan,very well,very bad,NA,You also see this goldfish.,warmup/goldfish.png,NA,N/A,some_college,1,<b>That's a small fish.</b>|<b>That fish is small.</b>,English,female,1,You and your friend see the following:,NA,3,1568233131819,0.5,0,100,NA,custom_slider2
522,How well does each of the sentences describe it? (Click on the slider to provide a rating),0,NA,NA,NA,14,NA,2,NA,susan,very well,very bad,yes,Imagine you see this chair.,warmup/purple-chair.png,33,NA,some_college,NA,NA,English,female,NA,NA,The chair is blue.,1,1568229291145,0.75,NA,14,The chair is yellow.,custom_warmup
522,How well does each of the sentences describe it? (Click on the slider to provide a rating),100,NA,NA,NA,14,NA,2,NA,susan,very well,very bad,yes,Imagine you see this basketball.,warmup/basketball.png,33,NA,some_college,NA,NA,English,female,NA,NA,The basketball is green.,2,1568229291145,0.75,NA,0,The basketball is orange.,custom_warmup
